Customer ID,Customer Name,Article Count,Tax,Total Amount,Contract ID,Contract Mode,Product Type,Customer Type,Customer Sub Type,Region,Start Date,End Date
3000042033,SESHAASAI TECHNOLOGIES LIMITED,826685,0.0,33020146.2,-,-,All,All,All,All Offices,2025-07-01,2025-07-31
5000009103,INDIAN OVERSEAS BANK-PSD,46777,0.0,7258518.27,-,-,All,All,All,All Offices,2025-07-01,2025-07-31
3000042169,INDIAN BANK,10066,0.0,1028035.65,-,-,All,All,All,All Offices,2025-07-01,2025-07-31
5000014821,MS CBI KOTI(BNPL),65184,0.0,10704525.76,-,-,All,All,All,All Offices,2025-07-01,2025-07-31
3000063003,PKL LIMITED,156,0.0,118613.0,-,-,All,All,All,All Offices,2025-07-01,2025-07-31
3000052887,KARNATAKA GRAMIN BANK,65,0.0,70469.99,-,-,All,All,All,All Offices,2025-07-01,2025-07-31
3000065748,DREAMY DESIGNS,2988,0.0,95612.0,-,-,All,All,All,All Offices,2025-07-01,2025-07-31
4002089778,GANTASALA RAVALI,827,0.0,51840.0,-,-,All,All,All,All Offices,2025-07-01,2025-07-31
3000044681,SHREE NIDHI PRINT P LTD,22,0.0,9952.0,-,-,All,All,All,All Offices,2025-07-01,2025-07-31
1000060979,ZEROHARM SCIENCES PVT LTD,174,0.0,3180.0,-,-,All,All,All,All Offices,2025-07-01,2025-07-31
4002005159,MAASALA SIVA DURGA,661,0.0,40635.0,-,-,All,All,All,All Offices,2025-07-01,2025-07-31
3000051074,KAKANI EDU MEDIA PVT LTD,220,0.0,19921.0,-,-,All,All,All,All Offices,2025-07-01,2025-07-31
4001690303,BATTULA SANDHYA,158,0.0,24206.0,-,-,All,All,All,All Offices,2025-07-01,2025-07-31
3000056175,EMERALD ENTERPRISES,10,0.0,0.0,-,-,All,All,All,All Offices,2025-07-01,2025-07-31
1207244829,CHANDAN LOGICS LLP,234,0.0,0.0,-,-,All,All,All,All Offices,2025-07-01,2025-07-31
1000056867,LEE HEALTH DOMAIN INDIA PVT LTD,165,0.0,10435.0,-,-,All,All,All,All Offices,2025-07-01,2025-07-31
3000067747,SJI JIMR,250,0.0,33695.0,-,-,All,All,All,All Offices,2025-07-01,2025-07-31
3000065886,DREAMY DESIGNS,295,0.0,6305.0,-,-,All,All,All,All Offices,2025-07-01,2025-07-31
1000059264,Aswini Homeo & Ayurvedic Products,0,0.0,15575.0,-,-,All,All,All,All Offices,2025-07-01,2025-07-31
1643026968,AFFORDABLE ORGANICS,138,0.0,0.0,-,-,All,All,All,All Offices,2025-07-01,2025-07-31
3000060427,SOLUTIONS 3X PVT LTD,79,0.0,14319.0,-,-,All,All,All,All Offices,2025-07-01,2025-07-31
3000067142,Prashanthi Ponnapalli,118,0.0,9405.0,-,-,All,All,All,All Offices,2025-07-01,2025-07-31
