Customer ID,Customer Name,Article Count,Tax,Total Amount,Contract ID,Contract Mode,Product Type,Customer Type,Customer Sub Type,Region,Start Date,End Date
3000042033,SESHAASAI TECHNOLOGIES LIMITED,902201,0.0,34001199.88,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
5000009103,INDIAN OVERSEAS BANK-PSD,50022,0.0,2033645.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
3000042169,INDIAN BANK,10793,0.0,371545.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
3000057433,INDIAN BANK(BPC BOLLARUM),318844,0.0,0.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
5000014821,MS CBI KOTI(BNPL),0,0.0,2592766.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
3000063003,PKL LIMITED,92,0.0,75488.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
3000052887,KARNATAKA GRAMIN BANK,65,0.0,13070.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
3000065748,DREAMY DESIGNS,1499,0.0,70932.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
4002089778,GANTASALA RAVALI,621,0.0,46375.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
3000044681,SHREE NIDHI PRINT P LTD,9,0.0,2620.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
1000060979,ZEROHARM SCIENCES PVT LTD,487,0.0,21880.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
4002005159,MAASALA SIVA DURGA,749,0.0,52385.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
3000051074,KAKANI EDU MEDIA PVT LTD,437,0.0,21287.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
4001690303,BATTULA SANDHYA,153,0.0,18542.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
3000056175,EMERALD ENTERPRISES,45,0.0,2340.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
1207244829,CHANDAN LOGICS LLP,266,0.0,21385.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
1000056867,LEE HEALTH DOMAIN INDIA PVT LTD,237,0.0,8165.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
3000067747,SJI JIMR,356,0.0,17080.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
3000065886,DREAMY DESIGNS,1664,0.0,6550.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
1000059264,Aswini Homeo & Ayurvedic Products,107,0.0,0.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
1643026968,AFFORDABLE ORGANICS,222,0.0,14106.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
3000060427,SOLUTIONS 3X PVT LTD,54,0.0,15008.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
3000067142,Prashanthi Ponnapalli,131,0.0,3660.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
1000060978,AYUSH DESIGNS,435,0.0,24825.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
1000056929,NADELLA VENKAT CHAITANYA,255,0.0,3440.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
3000070717,RANKERS BOOK,79,0.0,20640.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
1335675181,ANKITHA RAVU,148,0.0,5775.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
3000056060,VIJAYA SHRI ENTERPRISES,19,0.0,7995.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
4002369298,SAANVI TRENDZ,410,0.0,5915.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
1000055959,U LAXMAMMA,85,0.0,6630.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
3000063005,VASHISHT HOMEOPATHIC PHARMACEUTICALS,23,0.0,8363.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
3000069175,KAKATIYA ENERGY SYSTEMS PVT LTD,2,0.0,3200.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
3000063187,LAKSHMI SAREES,52,0.0,4625.0,-,-,All,All,All,All Offices,2025-08-01,2025-08-31
