Customer ID,Customer Name,Article Count,Tax,Total Amount,Contract ID,Contract Mode,Product Type,Customer Type,Customer Sub Type,Region,Start Date,End Date
3000042033,SESHAASAI TECHNOLOGIES LIMITED,10009599,0.0,43075909.0,-,-,All,All,All,All Offices,2026-03-01,2026-03-31
5000009103,INDIAN OVERSEAS BANK-PSD,892421,0.0,3877051.0,-,-,All,All,All,All Offices,2026-03-01,2026-03-31
3000042169,INDIAN BANK,261807,0.0,1173929.0,-,-,All,All,All,All Offices,2026-03-01,2026-03-31
3000057433,INDIAN BANK(BPC BOLLARUM),3774443,0.0,5528730.0,-,-,All,All,All,All Offices,2026-03-01,2026-03-31
5000014821,MS CBI KOTI(BNPL),904919,0.0,0.0,-,-,All,All,All,All Offices,2026-03-01,2026-03-31
3000063003,PKL LIMITED,1808,0.0,80101.0,-,-,All,All,All,All Offices,2026-03-01,2026-03-31
3000052887,KARNATAKA GRAMIN BANK,1677,0.0,0.0,-,-,All,All,All,All Offices,2026-03-01,2026-03-31
3000065748,DREAMY DESIGNS,17015,0.0,6553.0,-,-,All,All,All,All Offices,2026-03-01,2026-03-31
4002089778,GANTASALA RAVALI,6466,0.0,17930.0,-,-,All,All,All,All Offices,2026-03-01,2026-03-31
3000044681,SHREE NIDHI PRINT P LTD,23003,0.0,97638.0,-,-,All,All,All,All Offices,2026-03-01,2026-03-31
1000060979,ZEROHARM SCIENCES PVT LTD,3099,0.0,45510.0,-,-,All,All,All,All Offices,2026-03-01,2026-03-31
4002005159,MAASALA SIVA DURGA,3910,0.0,0.0,-,-,All,All,All,All Offices,2026-03-01,2026-03-31
1829060733,VAIGHA WEAVES,3630,0.0,85085.0,-,-,All,All,All,All Offices,2026-03-01,2026-03-31
3000051074,KAKANI EDU MEDIA PVT LTD,2744,0.0,20391.0,-,-,All,All,All,All Offices,2026-03-01,2026-03-31
4001690303,BATTULA SANDHYA,2066,0.0,39142.0,-,-,All,All,All,All Offices,2026-03-01,2026-03-31
3000056175,EMERALD ENTERPRISES,396,0.0,5180.0,-,-,All,All,All,All Offices,2026-03-01,2026-03-31
1709725541,AKRITI OPTHALMIC PVT LTD,1399,0.0,68696.0,-,-,All,All,All,All Offices,2026-03-01,2026-03-31
1207244829,CHANDAN LOGICS LLP,2293,0.0,14195.0,-,-,All,All,All,All Offices,2026-03-01,2026-03-31
1000056867,LEE HEALTH DOMAIN INDIA PVT LTD,3589,0.0,21140.0,-,-,All,All,All,All Offices,2026-03-01,2026-03-31
